survey_no,ownership_category,registered_owner,phone,land_type,total_extent_acres,acquisition_status,compensation_assessed,compensation_disbursed_pct,affected_families,legal_disputes,acquisition_date,last_updated
33,Private,G. Balasubramaniam (33),9840987654,Wetland (Nanja),2.73,Notified,1365000.0,40.0,3,0,2026-06-27,2026-09-08
34,Firm / Corporate,K. Selvam & Co (34),9444321654,Commercial,1.75,Awarded,875000.0,75.0,1,0,2026-01-30,2026-09-08
35,Private,M. Sundaram (35),9840123456,Wetland (Nanja),1.92,Possessed,960000.0,100.0,1,0,2025-09-22,2026-09-08
36,Joint Family,K. Shanmugam & Bros (36),9444123890,Wetland (Nanja),3.42,Possessed,1710000.0,100.0,3,0,2025-06-15,2026-09-08
37,Government,Government of Tamil Nadu,044-25670123,Poramboke (Waterbody),5.2,Awarded,2600000.0,60.0,0,0,2026-02-09,2026-09-08
38,Private,R. Lakshmi Ammal (38),9884567890,Dryland (Punja),1.93,Awarded,965000.0,75.0,1,0,2026-01-30,2026-09-08
39,Private,T. Ramasamy Gounder (39),9790123456,Wetland (Nanja),4.92,Pending,2460000.0,0.0,2,1,,2026-09-08
40,Trust / Institution,Arulmigu Mariamman Temple Trust (40),9443210987,Dryland (Punja),3.64,Pending,1820000.0,0.0,3,1,,2026-09-08
41,Private,A. Mohammed Farooq (41),9841234567,Commercial,1.33,Pending,665000.0,0.0,1,0,,2026-09-08
42,Private,V. Subramanian (42),9940123789,Residential Plot,0.36,Notified,180000.0,20.0,1,1,2026-03-17,2026-09-08
43,Government,Public Works Department (PWD),044-25678901,Poramboke (Road),3.24,Pending,1620000.0,0.0,0,0,,2026-09-08
44,Joint Family,S. Krishnaveni & Sons (44),9842109876,Wetland (Nanja),3.2,Notified,1600000.0,20.0,3,0,2026-04-05,2026-09-08
45,Private,Dr. N. Vijayaraghavan (45),9445678901,Dryland (Punja),6.05,Pending,3025000.0,0.0,3,0,,2026-09-08
46,Government,TN Housing Board,044-24765432,Residential Land,8.16,Notified,4080000.0,20.0,0,0,2026-05-20,2026-09-08
47,Private,P. Marimuthu (47),9789012345,Wetland (Nanja),2.41,Possessed,1205000.0,100.0,2,0,2025-09-22,2026-09-08
48,Private,G. Balasubramaniam (48),9840987654,Wetland (Nanja),2.94,Awarded,1470000.0,60.0,1,0,2025-11-20,2026-09-08
49,Firm / Corporate,K. Selvam & Co (49),9444321654,Commercial,1.0,Possessed,500000.0,100.0,3,0,2025-09-20,2026-09-08
50,Private,M. Sundaram (50),9840123456,Wetland (Nanja),2.16,Possessed,1080000.0,100.0,2,0,2025-06-19,2026-09-08
51,Joint Family,K. Shanmugam & Bros (51),9444123890,Wetland (Nanja),3.8,Notified,1900000.0,30.0,3,0,2026-06-09,2026-09-08
54,Government,Government of Tamil Nadu,044-25670123,Poramboke (Waterbody),6.76,Awarded,3380000.0,85.0,0,0,2026-02-24,2026-09-08
55,Private,R. Lakshmi Ammal (55),9884567890,Dryland (Punja),2.45,Notified,1225000.0,30.0,2,0,2026-05-02,2026-09-08
61,Private,T. Ramasamy Gounder (61),9790123456,Wetland (Nanja),5.33,Pending,2665000.0,0.0,1,0,,2026-09-08
